"","Origin Station Name"
"129571","Ladbroke Grove"
"130148","Ladywell"
"130634","Lambeth North"
"131209","Lancaster Gate"
"131761","Langdon Park"
"132270","Latimer Road"
"132811","Lea Bridge"
"132812","Lee"
"133286","Leicester Square"
"133917","Leyton"
"134502","Leyton Midland Road"
"134902","Leytonstone"
"135491","Leytonstone High Road"
"135860","London City Airport"
"136449","London Fields"
"136902","Loughborough Junction"
"137321","Loughton"
"137830","Lower Sydenham"
"138237","Maida Vale"
"138803","Malden Manor"
"139129","Manor House"
"139717","Manor Park"
"140215","Mansion House"
"140812","Marble Arch"
"141430","Maryland"
"141903","Maze Hill"
"142328","Mile End"
"142955","Mill Hill Broadway"
"143432","Mill Hill East"
"143860","Mitcham Eastfields"
"144348","Moor Park"
"144707","Moorgate"
"145341","Morden"
"145903","Morden South"
"146038","Mornington Crescent"
"146630","Mortlake"
"147114","Motspur Park"
"147566","Mottingham"
"148025","Mudchute"
"148499","Neasden"
"149059","New Barnet"
"149511","New Beckenham"
"149819","New Cross"
"150388","New Cross Gate"
"150962","New Eltham"
"151470","New Malden"
"152020","New Southgate"
"152383","Newbury Park"
"152926","Norbiton"
"153477","Norbury"
"154029","North Acton"
"154593","North Dulwich"
"155017","North Ealing"
"155345","North Greenwich"
"155970","North Harrow"
"156425","North Sheen"
"156759","North Wembley"
"157196","Northfields"
"157666","Northolt"
"158174","Northolt Park"
"158353","Northumberland Park"
"158690","Northwick Park"
"159251","Northwood"
"159731","Northwood Hills"
"160186","Norwood Junction"
"160768","Notting Hill Gate"
"161387","Nunhead"
"161791","Oakleigh Park"
"162160","Oakwood"
"162647","Ockendon"
"163018","Old Street"
"163652","Orpington"
"164207","Osterley"
"164633","Oval"
"165227","Oxford Circus"
"165864","Palmers Green"
"166349","Park Royal"
"166834","Parsons Green"
"167431","Peckham Rye"
"168041","Penge East"
"168426","Penge West"
"168815","Perivale"
"169305","Petts Wood"
"169773","Piccadilly Circus"
"170402","Pimlico"
"171007","Pinner"
"171480","Plaistow"
"172054","Plumstead"
"172587","Ponders End"
"173027","Pontoon Dock"
"173550","Poplar"
"174027","Preston Road"
"174520","Prince Regent"
"175110","Pudding Mill Lane"
"175549","Purfleet"
"175944","Purley"
"176472","Purley Oaks"
"176834","Putney"
"177404","Putney Bridge"
"177980","Queens Road Peckham"
"178558","Queensbury"
"179074","Queensway"
"179636","Ravensbourne"
"179883","Ravenscourt Park"
"180439","Rayners Lane"
"180940","Raynes Park"
"181502","Rectory Road"
"181927","Redbridge"
