"","Origin Station Name"
"1","Acton Town"
"548","Barbican"
"1170","Aldgate"
"1781","Aldgate East"
"2412","Stratford International DLR"
"2894","Alperton"
"3332","Amersham"
"3775","Angel"
"4401","Archway"
"5007","Arnos Grove"
"5555","Arsenal"
"6126","Baker Street"
"6760","Balham LU"
"7297","Bank and Monument"
"7933","Barking"
"8552","Barkingside"
"9006","Barons Court"
"9598","Bayswater"
"10163","Becontree"
"10686","Belsize Park"
"11268","Bethnal Green LU"
"11879","Blackfriars LU"
"12490","Blackhorse Road"
"13094","King George V"
"13561","Bond Street"
"14195","Borough"
"14791","Boston Manor"
"15243","Bounds Green"
"15796","Bow Road"
"16357","Brent Cross"
"16855","Bromley-by-Bow"
"17419","Buckhurst Hill"
"17886","Burnt Oak"
"18388","London City Airport"
"18977","Caledonian Road"
"19562","Camden Town"
"20187","Cannon Street LU"
"20775","Canons Park"
"21264","Pontoon Dock"
"21787","Chalfont & Latimer"
"22182","Chalk Farm"
"22771","Chancery Lane"
"23385","Embankment"
"24005","Chesham"
"24402","Chigwell"
"24765","Chiswick Park"
"25264","Chorleywood"
"25617","Clapham Common"
"26209","Clapham North"
"26784","Clapham South"
"27362","Cockfosters"
"27830","Colindale"
"28407","Colliers Wood"
"28968","Covent Garden"
"29582","Croxley"
"29960","Dagenham East"
"30483","Dagenham Heathway"
"31047","Debden"
"31532","Dollis Hill"
"32098","West Silvertown"
"32589","Ealing Broadway"
"33201","Ealing Common"
"33682","Earl's Court"
"34306","East Acton"
"34861","Eastcote"
"35332","East Finchley"
"35917","East Ham"
"36523","East Putney"
"37070","Edgware"
"37590","Edgware Road (DIS)"
"38179","Elephant & Castle LU"
"38797","Elm Park"
"39303","Epping"
"39804","Woolwich Arsenal"
"40415","Euston LU"
"41049","Euston Square"
"41632","Fairlop"
"42074","Farringdon"
"42709","Finchley Central"
"43301","Finchley Road"
"43894","Finsbury Park LU"
"44519","Fulham Broadway"
"45141","Gants Hill"
"45707","Gloucester Road"
"46328","Golders Green"
"46913","Goldhawk Road"
"47389","Goodge Street"
"47983","Grange Hill"
"48357","Great Portland Street"
"48961","Greenford"
"49495","Green Park"
"50128","Gunnersbury"
"50727","Hainault"
"51236","Hammersmith (DIS)"
"51863","Hampstead"
"52420","Hanger Lane"
"52955","Harlesden"
"53511","Harrow & Wealdstone"
"54063","Harrow-on-the-Hill"
"54648","Wood Lane"
"55194","Hendon Central"
"55777","High Barnet"
"56328","Highbury & Islington"
"56954","Highgate"
"57535","High Street Kensington"
"58163","Hillingdon"
"58615","Holborn"
"59246","Holland Park"
"59800","Holloway Road"
"60397","Hornchurch"
"60858","Hounslow Central"
"61360","Hounslow East"
"61825","Hounslow West"
"62311","Hyde Park Corner"
"62895","Ickenham"
"63270","Kennington"
"63853","Kensal Green"
"64356","Kensington (Olympia)"
"64965","Kentish Town"
"65581","Kenton"
"65921","Kew Gardens"
"66492","Kilburn"
"67064","Kilburn Park"
"67620","Kingsbury"
"68165","King's Cross St. Pancras"
"68801","Knightsbridge"
"69424","Ladbroke Grove"
"70001","Lambeth North"
"70576","Lancaster Gate"
"71128","Latimer Road"
"71669","Leicester Square"
"72300","Leyton"
"72885","Leytonstone"
"73474","Liverpool Street LU"
"74104","London Bridge LU"
"74739","Loughton"
"75248","Maida Vale"
"75814","Manor House"
"76402","Mansion House"
"76999","Marble Arch"
"77617","Marylebone LU"
"78223","Mile End"
"78850","Mill Hill East"
"79278","Moorgate"
"79912","Moor Park"
"80271","Morden"
"80833","Mornington Crescent"
"81425","Neasden"
"81985","Newbury Park"
"82528","North Acton"
"83092","North Ealing"
"83420","Northfields"
"83890","North Harrow"
"84345","Northolt"
"84853","North Wembley"
"85290","Northwick Park"
"85851","Northwood"
"86331","Northwood Hills"
"86786","Notting Hill Gate"
"87405","Oakwood"
"87892","Old Street"
"88526","Osterley"
"88952","Oval"
"89546","Oxford Circus"
"90183","Paddington TfL"
"90817","Park Royal"
"91302","Parsons Green"
"91899","Perivale"
"92389","Piccadilly Circus"
"93018","Pinner"
"93491","Plaistow"
"94065","Preston Road"
"94558","Putney Bridge"
"95134","Queensbury"
"95650","Queen's Park"
"96234","Queensway"
"96796","Ravenscourt Park"
"97352","Rayners Lane"
"97853","Redbridge"
"98346","Regent's Park"
"98933","Richmond"
"99558","Rickmansworth"
"100032","Roding Valley"
"100310","Royal Oak"
"100866","Ruislip"
"101293","Ruislip Gardens"
"101659","Ruislip Manor"
"102071","Russell Square"
"102687","St. James's Park"
"103311","St. John's Wood"
"103921","St. Paul's"
"104514","Seven Sisters"
"105131","Shepherd's Bush LU"
"105725","Sloane Square"
"106348","Snaresbrook"
"106845","South Ealing"
"107360","Southfields"
"107926","Southgate"
"108494","South Harrow"
"108910","South Kensington"
"109544","South Kenton"
"109881","South Ruislip"
"110328","South Wimbledon"
"110838","South Woodford"
"111377","Stamford Brook"
"111919","Stanmore"
"112439","Stepney Green"
"113050","Stockwell"
"113652","Stonebridge Park"
"114170","Charing Cross LU"
"114786","Stratford"
"115422","Sudbury Hill"
"115846","Sudbury Town"
"116212","Swiss Cottage"
"116818","Temple"
"117432","Theydon Bois"
"117810","Tooting Bec"
"118395","Tooting Broadway"
"118999","Tottenham Court Road"
"119632","Tottenham Hale LU"
"120227","Totteridge & Whetstone"
"120720","Tower Hill"
"121345","Tufnell Park"
"121912","Turnham Green"
"122492","Turnpike Lane"
"123083","Upminster"
"123607","Upminster Bridge"
"124007","Upney"
"124528","Upton Park"
"125124","Uxbridge"
"125717","Victoria LU"
"126334","Walthamstow Central"
"126945","Wanstead"
"127446","Warren Street"
"128069","Warwick Avenue"
"128651","Waterloo LU"
"129279","Watford"
"129697","Stratford High Street"
"130057","Abbey Road"
"130476","Wembley Central"
"131039","Wembley Park"
"131661","West Acton"
"132102","Westbourne Park"
"132663","West Brompton"
"133273","West Finchley"
"133723","West Ham"
"134293","West Hampstead LU"
"134860","West Harrow"
"135250","West Kensington"
"135818","Westminster"
"136448","West Ruislip"
"136833","Whitechapel"
"137464","White City"
"138067","Willesden Green"
"138647","Willesden Junction"
"139236","Wimbledon"
"139857","Wimbledon Park"
"140377","Woodford"
"140915","Wood Green"
"141521","Woodside Park"
"142046","Hammersmith (H&C)"
"142569","Edgware Road (Bak)"
"143165","Shepherd's Bush Market"
"143680","Pimlico"
"144285","Vauxhall LU"
"144881","Brixton LU"
"145494","Hatton Cross"
"145971","Heathrow Terminals 123 LU"
"146550","Heathrow Terminal 4 LU"
"147060","Heathrow Terminal 5 LU"
"147611","Southwark"
"148231","Bermondsey"
"148839","Canada Water"
"149455","North Greenwich"
"150080","Canary Wharf DLR"
"150663","All Saints"
"151145","Bow Church"
"151551","Canary Wharf LU"
"152187","Langdon Park"
"152696","Crossharbour"
"153256","Heron Quays"
"153779","Island Gardens"
"154289","Mudchute"
"154763","Poplar"
"155240","Pudding Mill Lane"
"155679","Shadwell DLR"
"156241","South Quay"
"156819","Limehouse DLR"
"157400","Tower Gateway"
"157725","Westferry"
"158270","West India Quay"
"158704","Devons Road"
"159170","Cutty Sark"
"159754","Blackwall"
"160242","East India"
"160801","Canning Town"
"161412","Royal Victoria"
"161950","Custom House"
"162548","Prince Regent"
"163138","Star Lane"
"163644","Royal Albert"
"164146","Beckton Park"
"164555","Cyprus"
"165092","Gallions Reach"
"165595","Beckton"
"166108","Deptford Bridge"
"166594","Elverson Road"
"166997","Greenwich"
"167579","Lewisham DLR"
"168049","Haggerston"
"168627","Hoxton"
"169199","Shoreditch High Street"
"169794","Rotherhithe"
"170318","Shadwell LO"
"170855","Surrey Quays"
"171478","Wapping"
"172040","Bushey"
"172462","Hatch End"
"172767","Watford Junction"
"173353","Acton Central"
"173839","Gospel Oak"
"174343","Hampstead Heath"
"174884","Kilburn High Road"
"175213","West Hampstead NR"
"175668","Dalston Kingsland"
"176229","Headstone Lane"
"176488","Brondesbury"
"176946","Brondesbury Park"
"177405","Caledonian Road & Barnsbury"
"177868","Camden Road"
"178349","Canonbury"
"178891","Carpenders Park"
"179260","Dalston Junction"
"179841","Euston NR"
"180079","Finchley Road & Frognal"
"180501","Kensal Rise"
"181034","Kentish Town West"
"181486","South Hampstead"
"181699","South Acton"
"182089","Watford High Street"
"182482","Marylebone NR"
"182564","Northolt Park"
"182743","Sudbury & Harrow Road"
"182814","Sudbury Hill Harrow"
"182934","Wembley Stadium"
"183306","Cricklewood"
"183679","Hendon"
"184113","Upper Holloway"
"184401","West Hampstead LO"
"184715","Mill Hill Broadway"
"185192","Elstree & Borehamwood"
"185749","St. Pancras International"
"186167","Acton Main Line"
"186388","Paddington NR"
"186616","Castle Bar Park"
"186776","Drayton Green"
"186884","South Greenford"
"186985","West Drayton"
"187449","Hayes & Harlington"
"187990","Southall"
"188521","West Ealing"
"188936","Hanwell"
"189250","Beckenham Junction"
"189740","Catford Bridge"
"190264","Clock House"
"190620","Hayes (Kent)"
"190992","Lewisham NR"
"191536","Lower Sydenham"
"191943","West Wickham"
"192288","Eden Park"
"192626","Ladywell"
"193112","New Beckenham"
"193420","St. John's"
"193808","Bellingham"
"194218","Bickley"
"194569","Bromley South"
"195153","Herne Hill"
"195653","Nunhead"
"196057","Mitcham Eastfields"
"196545","Penge East"
"196930","St. Mary Cray"
"197341","Beckenham Hill"
"197672","Catford"
"198038","Crofton Park"
"198369","Kent House"
"198724","Brixton NR"
"198913","Loughborough Junction"
"199332","Ravensbourne"
"199579","Shortlands"
"199991","Sydenham Hill"
"200362","West Dulwich"
"200756","Barnehurst"
"201185","Belvedere"
"201659","Bexley"
"202088","Bexleyheath"
"202575","Blackheath"
"203118","Bromley North"
"203377","Chelsfield"
"203704","Chislehurst"
"204095","Crayford"
"204515","Eltham"
"205003","Erith"
"205463","Hither Green"
"205999","Kidbrooke"
"206476","Knockholt"
"206654","Lee"
"207128","Blackfriars NR"
"207676","Mottingham"
"208135","New Eltham"
"208643","City Thameslink"
"209166","Orpington"
"209721","Petts Wood"
"210189","Sidcup"
"210708","Welling"
"211159","Abbey Wood"
"211712","Albany Park"
"212076","Elmstead Woods"
"212472","Falconwood"
"212859","Grove Park"
"213392","Cannon Street NR"
"213697","Charing Cross NR"
"214083","Charlton"
"214546","Deptford"
"215036","London Bridge NR"
"215627","Maze Hill"
"216052","New Cross"
"216621","Westcombe Park"
"216999","Woolwich Dockyard"
"217367","Slade Green"
"217794","Sundridge Park"
"218036","Waterloo East"
"218322","Plumstead"
"218855","Elephant & Castle NR"
"219159","Haydons Road"
"219426","St. Helier"
"219651","Morden South"
"219786","South Merton"
"219976","West Sutton"
"220269","Clapham High Street"
"220641","New Cross Gate"
"221215","Banstead"
"221440","Belmont"
"221669","Caterham"
"222049","Cheam"
"222444","Chipstead"
"222639","East Croydon"
"223260","Crystal Palace"
"223811","East Dulwich"
"224325","Epsom Downs"
"224489","Forest Hill"
"225063","Gipsy Hill"
"225560","Hackbridge"
"225978","Horley"
"226264","Kingswood"
"226481","Wandsworth Road"
"226879","Norwood Junction"
"227461","Penge West"
"227850","Purley"
"228378","Salfords"
"228524","Coulsdon Town"
"228775","Streatham"
"229302","Streatham Common"
"229868","Sutton (Surrey)"
"230444","Tadworth"
"230696","Tattenham Corner"
"230922","Thornton Heath"
"231472","Tooting"
"231829","Tulse Hill"
"232334","Upper Warlingham"
"232719","Waddon"
"233122","Wallington"
"233601","Wandsworth Common"
"234065","Whyteleafe"
"234325","Anerley"
"234766","Balham NR"
"235219","Birkbeck"
"235418","Brockley"
"235982","Carshalton"
"236424","Carshalton Beeches"
"236794","Coulsdon South"
"237276","South Croydon"
"237731","West Croydon NR"
"238292","Earlswood"
"238504","Ewell East"
"238827","Gatwick Airport"
"239435","Honor Oak Park"
"239977","Kenley"
"240272","Battersea Park"
"240822","Denmark Hill"
"241440","Peckham Rye"
"242050","Queens Road Peckham"
"242628","South Bermondsey"
"243091","Victoria NR"
"243494","Norbury"
"244046","North Dulwich"
"244470","Purley Oaks"
"244832","Reedham"
"245069","Riddlesdown"
"245317","Sanderstead"
"245723","Selhurst"
"246227","Streatham Hill"
"246729","Sutton Common"
"246995","Sydenham"
"247557","West Norwood"
"248073","Whyteleafe South"
"248270","Woodmansterne"
"248516","Merstham"
"248783","Redhill"
"249239","Barnes"
"249779","Brentford"
"250237","Chessington South"
"250518","Feltham"
"251078","Hampton"
"251494","Hampton Court"
"251961","Hounslow"
"252343","Kingston"
"252938","New Malden"
"253488","Norbiton"
"254039","Raynes Park"
"254601","Surbiton"
"255205","Teddington"
"255722","Tolworth"
"256142","Twickenham"
"256731","Wandsworth Town"
"257295","Worcester Park"
"257771","Barnes Bridge"
"258156","Berrylands"
"258493","Chessington North"
"258870","Chiswick"
"259248","Earlsfield"
"259851","Ewell West"
"260285","Fulwell"
"260579","Hampton Wick"
"261002","Isleworth"
"261414","Kew Bridge"
"261803","Clapham Junction"
"262427","Queenstown Road (Battersea)"
"262938","Vauxhall NR"
"263477","Waterloo NR"
"263849","Malden Manor"
"264175","Mortlake"
"264659","North Sheen"
"264993","Putney"
"265563","St. Margaret's (Greater London)"
"266018","Stoneleigh"
"266412","Strawberry Hill"
"266889","Syon Lane"
"267338","Thames Ditton"
"267709","Whitton"
"268157","Wimbledon Chase"
"268422","Motspur Park"
"268874","Drayton Park"
"269251","Essex Road"
"269717","Crews Hill"
"269886","Enfield Chase"
"270321","Harringay"
"270747","Hornsey"
"271226","New Barnet"
"271678","New Southgate"
"272041","Oakleigh Park"
"272410","Palmers Green"
"272895","Winchmore Hill"
"273341","Alexandra Palace"
"273844","Bowes Park"
"274123","Gordon Hill"
"274582","Grange Park"
"274874","Hadley Wood"
"275131","Finsbury Park NR"
"275259","King's Cross"
"275409","Brimsdown"
"275882","Broxbourne"
"276327","Cheshunt"
"276828","Enfield Lock"
"277331","Hertford East"
"277664","Ponders End"
"278104","Rye House"
"278390","St Margarets (Hertfordshire)"
"278620","Waltham Cross"
"279092","Ware"
"279469","Hackney Downs"
"279932","Brentwood"
"280427","Chadwell Heath"
"280976","Forest Gate"
"281505","Gidea Park"
"281986","Goodmayes"
"282513","Harold Wood"
"283018","Ilford"
"283618","Manor Park"
"284116","Romford"
"284703","Shenfield"
"285180","Seven Kings"
"285724","Angel Road"
"285818","Bush Hill Park"
"286277","Chingford"
"286755","Highams Park"
"287260","Clapton"
"287773","Lea Bridge"
"287774","Stoke Newington"
"288236","Edmonton Green"
"288796","Southbury"
"289268","Theobalds Grove"
"289637","Tottenham Hale NR"
"289987","Turkey Street"
"290426","Wood Street"
"290925","White Hart Lane"
"291471","Bruce Grove"
"291920","Enfield Town"
"292435","Bethnal Green LO"
"292707","Cambridge Heath"
"293060","Liverpool Street NR"
"293424","London Fields"
"293877","Rectory Road"
"294302","Stamford Hill"
"294612","Maryland"
"295085","Northumberland Park"
"295422","Silver Street"
"295942","St James Street"
"296310","Hackney Central"
"296906","Hackney Wick"
"297459","Homerton"
"298045","Heathrow Terminals 2 & 3 EL"
"298311","Heathrow Terminal 4 EL"
"298542","Stratford International NR"
"298543","Harringay Green Lanes"
"298846","Leyton Midland Road"
"299246","Leytonstone High Road"
"299615","South Tottenham"
"299841","Crouch Hill"
"300109","Walthamstow Queen's Road"
"300363","Wanstead Park"
"300677","Dagenham Dock"
"301030","Grays"
"301532","Chafford Hundred"
"302002","Ockendon"
"302373","Purfleet"
"302768","Rainham (Essex)"
"303215","Woodgrange Park"
"303534","Emerson Park"
"303785","Fenchurch Street"
"303985","Limehouse NR"
"304216","Imperial Wharf"
"304813","Shepherd's Bush NR"
